,ID,AEP_MW
1520,,7522.645835516823
1521,,6763.629314677475
1522,,1636.2798762862944
1523,,355.9076710936038
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,
1536,,
1537,,
1538,,
1539,,
1540,,
1541,,131.2110791473773
1542,,148.18535853456774
1543,,1728.540440896451
1544,,7527.411027776796
1545,,6767.913710721676
1546,,1637.3163717391062
1547,,356.1331194952224
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,,
1558,,
1559,,
1560,,
1561,,
1562,,
1563,,
1564,,
1565,,131.29414170586764
1566,,148.27916658104274
1567,,1729.6346853185526
1568,,7532.176220036768
1569,,6772.198106765879
1570,,1638.352867191918
1571,,356.358567896841
1572,,
1573,,
1574,,
1575,,
1576,,
1577,,
1578,,
1579,,
1580,,
1581,,
1582,,
1583,,
1584,,
1585,,
1586,,
1587,,
1588,,
1589,,131.37720426435797
1590,,148.37297462751775
1591,,1730.7289297406537
1592,,7536.94141229674
1593,,6776.48250281008
1594,,1639.3893626447298
1595,,356.5840162984596
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,131.46026682284833
1614,,148.46678267399272
1615,,1731.8231741627549
1616,,7541.706604556712
1617,,6780.766898854282
1618,,1640.425858097542
1619,,356.80946470007814
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1626,,
1627,,
1628,,
1629,,
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,131.5433293813387
1638,,148.56059072046776
1639,,1732.9174185848565
1640,,7546.471796816683
1641,,6785.051294898485
1642,,1641.4623535503538
1643,,357.0349131016967
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,,
1655,,
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,131.62639193982903
1662,,148.65439876694273
1663,,1734.0116630069574
1664,,7551.236989076655
1665,,6789.335690942686
1666,,1642.4988490031656
1667,,357.26036150331527
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,,
1684,,
1685,,131.70945449831942
1686,,148.7482068134177
1687,,1735.1059074290588
1688,,7556.002181336627
1689,,6793.620086986888
1690,,1643.5353444559773
1691,,357.48580990493383
1692,,
1693,,
1694,,
1695,,
1696,,
1697,,
1698,,
1699,,
1700,,
1701,,
1702,,
1703,,
1704,,
1705,,
1706,,
1707,,
1708,,
1709,,131.79251705680977
1710,,148.84201485989274
1711,,1736.2001518511602
1712,,7560.7673735966
1713,,6797.90448303109
1714,,1644.5718399087896
1715,,357.71125830655245
1716,,
1717,,
1718,,
1719,,
1720,,
1721,,
1722,,
1723,,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,131.8755796153001
1734,,148.93582290636772
1735,,1737.2943962732613
1736,,7565.532565856571
1737,,6802.188879075292
1738,,1645.6083353616013
1739,,357.936706708171
1740,,
